Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25209,BATOM HIDRATANTE NUDES FOR ALL - COR CLEOPATRA,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25210,BATOM HIDRATANTE NUDES FOR ALL - COR ALLEGORY,5.00,5.00,"R$ 19,90","R$ 9,95",100.00 %,,0,0,
25211,PALETA DE SOMBRAS NUDES FOR AL,13.00,13.00,"R$ 50,00","R$ 25,00",100.00 %,,0,0,
25212,ESMALTE NUDES FOR ALL - COR CAYMAN,3.00,3.00,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25213,ESMALTE NUDES FOR ALL - COR FORMENTERA,3.00,3.00,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25214,ESMALTE NUDES FOR ALL - COR ARPOADOR,3.00,3.00,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25215,ESMALTE NUDES FOR ALL - COR TANGSI,3.00,3.00,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25216,ESMALTE NUDES FOR ALL - COR POLYNESIA,3.00,3.00,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25217,ESMALTE NUDES FOR ALL - COR MAUI,2.60,2.60,"R$ 9,90","R$ 4,95",100.00 %,,0,0,
25218,PALETA CONTORNO PHOTOSHOW 01,18.00,18.00,"R$ 74,90","R$ 37,45",100.00 %,,0,0,
25219,PALETA CONTORNO PHOTOSHOW 02,4.55,4.55,"R$ 74,90","R$ 29,90",150.50 %,,0,0,
25220,KIT MATTIFY COLLECTION,24.00,24.00,"R$ 99,00","R$ 49,50",100.00 %,,0,0,
25221,FINAL TOUCH GLOW,10.00,10.00,"R$ 42,90","R$ 21,45",100.00 %,,0,0,
25226,DAZZLE SUPER SKIN,17.00,17.00,"R$ 69,90","R$ 34,95",100.00 %,,0,0,
25232,BATOM SOFT MATTE FPS JERI- SUMMER VIBES DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25233,BATON SOFT MATTE FPS - ANGRA -SUMMER VIBES DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25234,BATOM SOFT MATTE FPS- JURERÊ- SUMMER VIBES-DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25235,BATOM SOFT MATTE FPS -FLORIPA - SUMMER VIBES DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25236,BATOM SOFT MATTE FPS -MARAGOGI SUMMER VIBES DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25237,BATOM SOFT MATTE FPS -PIPA - SUMMER VIBES DAZZLE,4.76,4.76,"R$ 39,00","R$ 11,90",227.73 %,,0,0,
25238,ESMALTE 5 FREE EFFECT GEL -CAJÁ- SUMMER VIBES DAZZLE,3.16,3.16,"R$ 27,00","R$ 7,90",241.77 %,,0,0,
25239,ESMALTE 5 FREE EFFECT GEL -AÇAÍ- SUMMER VIBES DAZZLE,3.16,3.16,"R$ 27,00","R$ 7,90",241.77 %,,0,0,
